coarse_agg_weight,fine_agg_weight,current_weight,fly_ash_weight,AEA_dose,type_awra_dose,W/(C+P),design_strength,actual_strength,poor_strength,overdesign
16990,14050,3905,995,0.3,4,0.48,3000,3740,no,1.246666667
13580,11250,3115,790,0.3,3.99,0.48,3000,4230,no,1.41
19130,15940,4340,1100,0.32,3.97,0.47,3000,6500,no,2.166666667
19200,16120,4305,1170,0.34,3.95,0.47,3000,4210,no,1.403333333
19130,16160,4405,1080,0.34,4.01,0.47,3000,4360,no,1.453333333
19180,15920,4280,1085,0.34,4.1,0.47,3000,4160,no,1.386666667
17660,14440,3895,990,0.34,4.01,0.47,3000,4570,no,1.523333333
19090,15910,4280,1085,0.29,4.03,0.47,3000,4270,no,1.423333333
17050,14140,3920,985,0.3,4.08,0.45,3000,3340,no,1.113333333
13210,10850,3025,755,0.36,4.02,0.43,3000,3670,no,1.223333333
17300,14360,3915,990,0.31,3.98,0.48,3000,4170,no,1.39
18160,15300,4095,1050,0.25,4.02,0.44,3000,4530,no,1.51
17100,14400,4152,996,0.39,0,0.39,3000,4720,no,1.573333333
17025,14500,4150,1005,0.51,0,0.44,3000,4950,no,1.65
17025,14625,4175,995,0.45,0,0.44,3000,4150,no,1.383333333
17060,13900,4145,1010,0.6,0,0.44,3000,5440,no,1.813333333
17060,14060,4145,995,0.7,0,0.45,3000,3890,no,1.296666667
17160,15660,3948,996,0,3.96,0.53,3000,4910,no,1.636666667
17220,15690,3942,996,0,3.97,0.54,3000,4200,no,1.4
17070,15390,3942,990,0,3.97,0.54,3000,4220,no,1.406666667
17070,15450,3948,990,0,4.05,0.53,3000,3960,no,1.32
17220,15210,3942,990,0,4.06,0.53,3000,4710,no,1.57
17310,15270,3942,996,0,3.97,0.54,3000,4650,no,1.55
17220,15480,3966,990,0,3.95,0.53,3000,4200,no,1.4
17220,15570,3942,990,0,3.97,0.54,3000,4230,no,1.41
15540,14070,3558,894,0,4.04,0.52,3000,3900,no,1.3
17050,15500,3975,985,0,3.95,0.54,3000,5890,no,1.963333333
17200,15775,3965,985,0,3.88,0.52,3000,4830,no,1.61
17125,15825,3945,990,0,3.97,0.55,3000,4260,no,1.42
17200,15650,3965,985,0,3.96,0.54,3000,3980,no,1.326666667
17100,15875,3955,985,0,3.89,0.54,3000,4100,no,1.366666667
17075,15525,3945,990,0,3.97,0.48,3000,4560,no,1.52
17200,15500,3960,985,0,4.04,0.52,3000,4620,no,1.54
17125,15550,3945,985,0,3.98,0.51,3000,5050,no,1.683333333
